file_name,text
video/glLQrEijrKg_000300/video.mp4,playing hammond organ
video/LDoXsip0BEQ_000177/video.mp4,parrot talking
video/6jiO0tPLK7U_000090/video.mp4,basketball bounce
video/cRlp5v9BHeE_000011/video.mp4,car passing by
video/WgZ8KAnnTb8_000030/video.mp4,rapping
video/ATnl-fq5nAk_000030/video.mp4,playing acoustic guitar
video/20Nlj7Cz4E0_000030/video.mp4,male singing
video/2P1uwGQfaPA_000004/video.mp4,alarm clock ringing
video/NlCfScKw_Mk_000030/video.mp4,playing synthesizer
video/W1nb2hIeDKc_000021/video.mp4,striking bowling
video/QDppmIicknY_000030/video.mp4,playing bagpipes
video/apZT-WEJ--A_000175/video.mp4,people slurping
video/7rzEesL55fM_000340/video.mp4,playing vibraphone
video/BLXwpGCn2KQ_000030/video.mp4,orchestra
video/xElEg-6DBtM_000018/video.mp4,hail
video/XOI5jgUu3fA_000442/video.mp4,blowtorch igniting
video/hsmrvZEc_uw_000150/video.mp4,playing electronic organ
video/si_IAMPOXlQ_000170/video.mp4,playing timpani
video/2rK6HBRC8HQ_000040/video.mp4,playing castanets
video/qJ2cY646opA_000000/video.mp4,people slapping
video/2uYTNgvxVwk_000257/video.mp4,people humming
video/8vohm5gaLs8_000049/video.mp4,bowling impact
video/-XxUW9gW6mc_000060/video.mp4,wind rustling leaves
video/wjmMSonpdT0_000030/video.mp4,helicopter
video/DUlxiX4ri1Q_000045/video.mp4,alarm clock ringing
video/DiBKqoKUjOk_000080/video.mp4,goose honking
video/KPG9s_s8siA_000030/video.mp4,playing vibraphone
video/Flusa6-SaDM_000090/video.mp4,horse clip-clop
video/4q9NPjOpWy8_000146/video.mp4,wood thrush calling
video/2XQzahrQ_tE_000025/video.mp4,sea waves
video/MVLEz28ZdFU_000010/video.mp4,people coughing
video/h_GXTAWpJC8_000002/video.mp4,cat growling
video/QXnFAcMyAHA_000030/video.mp4,playing harp
video/JrZZVNhUDtY_000127/video.mp4,driving snowmobile
video/0_8-g2rof7E_000049/video.mp4,"heart sounds, heartbeat"
video/EIzBD62ja8E_000030/video.mp4,playing acoustic guitar
video/asKuYgAcyIk_000030/video.mp4,car passing by
video/tV3rvUSlVnY_000030/video.mp4,playing steelpan
video/N0c6P3Po5J0_000062/video.mp4,cuckoo bird calling
video/aEYwqY-Zt_k_000011/video.mp4,"donkey, ass braying"
video/GteozUDpJRc_000030/video.mp4,"engine accelerating, revving, vroom"
video/hO7Y77gKIMo_000150/video.mp4,raining
video/nEmU3E8rras_000012/video.mp4,playing washboard
video/MnEZwnRuQR8_000030/video.mp4,firing cannon
video/l-qyJLFOVYI_000000/video.mp4,cheetah chirrup
video/1cqcTbDxsHM_000130/video.mp4,playing theremin
video/YXqu1CeA2c4_000044/video.mp4,people giggling
video/-Tok_g_jgE0_000268/video.mp4,rope skipping
video/puoRo9q7-ec_000009/video.mp4,disc scratching
video/m9jDl571rHU_000010/video.mp4,playing hammond organ
video/6OjIjy7Hc6I_000030/video.mp4,playing synthesizer
video/PDToHQeouq8_000050/video.mp4,stream burbling
